id,topic,title,year,source_url,pdf_url,filename,notes
iea_energy_ai,official_report,Energy and AI,2025,https://www.iea.org/reports/energy-and-ai,https://iea.blob.core.windows.net/assets/86ed1178-4d77-45ac-ab38-28e849f3b93f/EnergyandAI.pdf,iea_energy_and_ai_2025.pdf,IEA report on AI data centers electricity grids climate and security
lbnl_us_data_center_energy,official_report,2024 United States Data Center Energy Usage Report,2024,https://eta.lbl.gov/publications/2024-lbnl-data-center-energy-usage-report,https://eta-publications.lbl.gov/sites/default/files/2024-12/lbnl-2024-united-states-data-center-energy-usage-report_1.pdf,lbnl_us_data_center_energy_usage_2024.pdf,US data center electricity use 2014-2028 scenarios
epri_powering_intelligence_2024,official_report,Powering Intelligence Analyzing Artificial Intelligence and Data Center Energy Consumption,2024,https://www.epri.com/research/products/000000003002028905,https://www.wpr.org/wp-content/uploads/2024/06/3002028905_Powering-Intelligence_-Analyzing-Artificial-Intelligence-and-Data-Center-Energy-Consumption.pdf,epri_powering_intelligence_2024.pdf,EPRI white paper on AI and data center energy scenarios
epri_powering_intelligence_2026,official_report,Powering Intelligence Updated U.S. Data Center Scenarios,2026,https://powering-intelligence.epri.com/,https://restservice.epri.com/publicattachment/97025,epri_powering_intelligence_updated_us_scenarios_2026.pdf,EPRI 2026 updated data center electricity scenarios
iea_4e_data_centre_energy_review,official_report,Data Centre Energy Use Critical Review of Models and Results,2025,https://www.iea-4e.org/edna/publications/data-centre-energy-use-critical-review-of-models-and-results/,https://www.iea-4e.org/wp-content/uploads/2025/05/Data-Centre-Energy-Use-Critical-Review-of-Models-and-Results.pdf,iea_4e_data_centre_energy_review_2025.pdf,Review of global data center energy-use models and projections
nrel_edge_data_centers,official_report,Considerations for Distributed Edge Data Centers and Use of Distributed Energy Resources,2026,https://www.nrel.gov/docs/fy26osti/96700.pdf,,nrel_edge_data_centers_der_2026.pdf,Distributed edge data centers and DER for AI inference
ai_grid_impacts,grid_paper,Electricity Demand and Grid Impacts of AI Data Centers,2025,https://arxiv.org/abs/2509.07218,https://arxiv.org/pdf/2509.07218,ai_data_centers_grid_impacts_2509.07218.pdf,AI data center load growth and grid impacts
power_hungry_processing,inference_energy,Power Hungry Processing Watts Driving the Cost of AI Deployment,2023,https://arxiv.org/abs/2311.16863,https://arxiv.org/pdf/2311.16863,power_hungry_processing_2311.16863.pdf,Energy and carbon cost of inference across model types
ai_less_thirsty,water,Making AI Less Thirsty Uncovering and Addressing the Secret Water Footprint of AI Models,2023,https://arxiv.org/abs/2304.03271,https://arxiv.org/pdf/2304.03271,making_ai_less_thirsty_2304.03271.pdf,Water footprint of AI training and inference
ml_training_carbon_plateau,carbon,The Carbon Footprint of Machine Learning Training Will Plateau Then Shrink,2022,https://arxiv.org/abs/2204.05149,https://arxiv.org/pdf/2204.05149,ml_training_carbon_plateau_2204.05149.pdf,Best practices for reducing ML training energy and emissions
green_ai,carbon,Green AI,2019,https://arxiv.org/abs/1907.10597,https://arxiv.org/pdf/1907.10597,green_ai_1907.10597.pdf,Efficiency as a research evaluation criterion
energy_policy_deep_learning,carbon,Energy and Policy Considerations for Deep Learning in NLP,2019,https://arxiv.org/abs/1906.02243,https://arxiv.org/pdf/1906.02243,energy_policy_deep_learning_nlp_1906.02243.pdf,Training cost and emissions estimates for large NLP models
bloom_carbon_footprint,carbon,Estimating the Carbon Footprint of BLOOM a 176B Parameter Language Model,2023,https://jmlr.org/papers/v24/23-0069.html,https://www.jmlr.org/papers/volume24/23-0069/23-0069.pdf,bloom_carbon_footprint_jmlr_2023.pdf,Open model carbon footprint accounting
