topic,paper_or_source,year,url,core_claim,memory_impact,industry_readthrough,confidence
on_device_architecture,Apple Third Generation Foundation Models,2026,https://machinelearning.apple.com/research/introducing-third-generation-of-apple-foundation-models,"AFM 3 Core Advanced is a 20B sparse on-device model that activates 1-4B parameters and stores the full model in NAND while loading selected experts into DRAM.","Cuts active DRAM footprint for on-device inference; shifts some demand from DRAM to NAND/flash plus software routing.","Bearish for simple DRAM-capacity assumptions in edge AI; not a replacement for HBM in frontier training or high-throughput cloud inference.",high
on_device_architecture,Apple Intelligence Foundation Language Models Tech Report 2025,2025,https://machinelearning.apple.com/research/apple-foundation-models-tech-report-2025,"Apple's on-device model uses KV-cache sharing and 2-bit quantization-aware training; server model uses PT-MoE with global-local attention.","Reduces on-device memory and latency; confirms production models are moving toward aggressive compression.","Shows consumer AI will not map linearly to DRAM/HBM GB demand; favors efficient local models and adapters.",high
on_device_architecture,Apple On-Device and Server Foundation Models,2024,https://machinelearning.apple.com/research/introducing-apple-foundation-models,"Apple uses activation/embedding quantization, efficient KV-cache updates, and dynamically swapped adapters of tens of MB.","Keeps model specialization cheap without loading many full models.","Supports adapter/LoRA demand rather than massive on-device base-model memory.",high
kv_cache_compression,TurboQuant,2026,https://research.google/blog/turboquant-redefining-ai-efficiency-with-extreme-compression/,"Google Research reports at least 6x KV-cache memory reduction and up to 8x speedup with near-zero loss via online vector quantization.","Strongly reduces long-context inference KV footprint and attention memory traffic.","Medium-term bearish for HBM capacity per token; may be bullish for total tokens served through Jevons effect.",high
kv_cache_compression,TurboQuant OpenReview,2026,https://openreview.net/forum?id=tO3ASKZlok,"ICLR 2026 poster reports quality-neutral KV quantization at 3.5 bits per channel and marginal degradation at 2.5 bits.","Validates practical sub-4-bit KV cache as a serious systems path.","Raises risk that HBM demand growth migrates from capacity to bandwidth/utilization.",high
kv_cache_compression,KIVI 2-bit KV Cache Quantization,2024,https://arxiv.org/abs/2402.02750,"KIVI proposes tuning-free 2-bit asymmetric KV-cache quantization for LLMs.","Reduces KV capacity pressure for long-context inference.","Earlier proof that KV cache can be compressed aggressively; industry impact depends on serving integration.",medium
kv_cache_compression,KVQuant,2024,https://www.stat.berkeley.edu/~mmahoney/pubs/neurips-2024-kvquant.pdf,"KVQuant compresses activations dynamically and reports large KV memory savings for long contexts.","Allows larger batch size or context length under same memory budget.","Bearish for raw GB-per-token but bullish for long-context productization.",medium
kv_cache_compression,XQuant,2025,https://arxiv.org/abs/2508.10395,"XQuant caches low-bit layer inputs and rematerializes K/V, trading compute for lower memory traffic.","Cuts stored cache and shifts burden to recompute.","Potentially reduces HBM capacity need but increases compute; net demand depends on power economics.",medium
kv_cache_compression,SAW-INT4,2026,https://arxiv.org/html/2604.19157v1,"System-aware 4-bit KV-cache quantization with fused rotation-quantization kernel and negligible serving overhead.","Makes KV compression closer to production-ready under real serving constraints.","More bearish for naive HBM demand models than academic-only compression.",medium
kv_cache_retrieval,Fier,2025,https://aclanthology.org/2025.findings-emnlp.515.pdf,"Fine-grained KV retrieval matches full KV using 11% cache budget on long-context tasks.","Evicts/retrieves useful cache instead of storing everything hot.","Useful for agentic long-context workloads; can reduce peak memory at cost of retrieval complexity.",medium
serving_systems,vLLM PagedAttention,2023,https://arxiv.org/abs/2309.06180,"PagedAttention manages KV cache with paging to improve memory utilization and throughput.","Reduces memory fragmentation and improves GPU utilization without changing model architecture.","Bullish for inference volume, mildly bearish for wasted HBM demand.",high
attention_kernel,FlashAttention-3,2024,https://arxiv.org/abs/2407.08608,"FlashAttention-3 improves attention by reducing HBM IO and using Hopper asynchronous features and low precision.","Reduces bandwidth waste and improves effective HBM utilization.","Does not eliminate HBM need; raises tokens per GPU and can expand demand.",high
latent_attention,DeepSeek-V3 Technical Report,2024,https://arxiv.org/abs/2412.19437,"DeepSeek-V3 uses Multi-head Latent Attention and MoE to improve inference efficiency and training economics.","MLA compresses cached KV states; MoE reduces active compute per token.","Important architectural proof that frontier-quality models can reduce KV cache and active parameters.",high
latent_attention,TransMLA,2025,https://arxiv.org/abs/2502.07864,"Multi-head Latent Attention can be transplanted to existing MHA models while reducing KV cache size.","Shows MLA-style KV compression may spread beyond DeepSeek-native models.","Bearish for full-MHA memory assumptions if conversion quality holds.",medium
linear_attention,Kimi Linear,2025,https://arxiv.org/abs/2510.26692,"Hybrid linear attention reports up to 75% KV-cache reduction and up to 6x decoding throughput for 1M context.","Moves part of sequence memory from unbounded KV cache to compact recurrent state.","Potentially material if adopted in frontier and agent models; still needs scale validation.",medium
hybrid_attention,MiniMax-01,2025,https://arxiv.org/abs/2501.08313,"Lightning attention plus MoE supports million-token context at affordable cost.","Reduces long-context memory/computation scaling versus pure full attention.","Points to hybrid attention becoming mainstream for long context.",medium
hybrid_reasoning,MiniMax-M1,2025,https://arxiv.org/abs/2506.13585,"Open-weight reasoning model combines MoE with lightning attention and 1M native context.","Connects efficient attention to test-time compute and reasoning workloads.","If reasoning demand grows, efficiency may enable more inference rather than less memory spend.",medium
ssm,Mamba,2023,https://arxiv.org/abs/2312.00752,"Selective state-space models scale linearly in sequence length and report faster inference than Transformers.","Avoids unbounded KV cache but has tradeoffs in content-based recall.","Long-term threat to attention KV cache; near-term likely hybrid rather than full replacement.",medium
ssm,Mamba-2 / Transformers are SSMs,2024,https://arxiv.org/abs/2405.21060,"Generalized SSM design links attention and state-space models; hybrid SSM-attention can improve efficiency.","Supports mixed architecture design with fewer attention layers.","Favors architectures that reduce but do not eliminate HBM pressure.",medium
linear_attention,Gated DeltaNet,2025,https://openreview.net/forum?id=r8H7xhYPwz,"Gated DeltaNet improves Mamba2/DeltaNet style linear attention with hardware-efficient training.","Replaces some attention cache with recurrent state.","Important building block for Kimi/Qwen-like hybrids.",medium
linear_attention,Gated DeltaNet-2,2026,https://arxiv.org/abs/2605.22791,"Gated DeltaNet-2 uses fixed-size recurrent state for constant-memory decoding and improves long-context retrieval.","Directly attacks unbounded cache growth in long-context inference.","If validated at larger scale, this is structurally bearish for KV-cache-driven HBM capacity demand.",medium
