id,topic,title,year,source_url,pdf_url,filename,notes
memory_wall,challenges_llm_inference_processors,Challenges and Research Directions for Large Language Model Inference Processors,2026,https://arxiv.org/abs/2601.05047,https://arxiv.org/pdf/2601.05047,challenges_llm_inference_processors_2601.05047.pdf,AI processors and HBM memory wall
memory_wall,mind_the_memory_gap,Mind the Memory Gap,2025,https://arxiv.org/abs/2503.08311,https://arxiv.org/pdf/2503.08311,mind_the_memory_gap_2503.08311.pdf,Attention kernels and memory stalls
agentic_inference,optimization_pathways_agentic_llm,Optimization Pathways for Long-Context Agentic LLM Inference,2025,https://arxiv.org/abs/2509.09505,https://arxiv.org/pdf/2509.09505,optimization_pathways_agentic_llm_2509.09505.pdf,Agentic inference bandwidth and capacity memory walls
kv_cache,turboquant,TurboQuant,2026,https://openreview.net/forum?id=tO3ASKZlok,https://openreview.net/pdf?id=tO3ASKZlok,turboquant_openreview_2026.pdf,Extreme KV cache compression
kv_cache,kivi,KIVI A Tuning-Free Asymmetric 2bit Quantization for KV Cache,2024,https://arxiv.org/abs/2402.02750,https://arxiv.org/pdf/2402.02750,kivi_kv_cache_quantization_2402.02750.pdf,2-bit KV cache quantization
kv_cache,kvquant,KVQuant Towards 10 Million Context Length LLM Inference with KV Cache Quantization,2024,https://www.stat.berkeley.edu/~mmahoney/pubs/neurips-2024-kvquant.pdf,https://www.stat.berkeley.edu/~mmahoney/pubs/neurips-2024-kvquant.pdf,kvquant_neurips_2024.pdf,Long-context KV cache compression
kv_cache,xquant,XQuant Breaking the Memory Wall for LLM Inference with KV Cache Rematerialization,2025,https://arxiv.org/abs/2508.10395,https://arxiv.org/pdf/2508.10395,xquant_2508.10395.pdf,Rematerialization instead of full KV cache
kv_cache,saw_int4,SAW-INT4 System-Aware 4-bit KV-Cache Quantization,2026,https://arxiv.org/abs/2604.19157,https://arxiv.org/pdf/2604.19157,saw_int4_2604.19157.pdf,Production-oriented 4-bit KV cache
kv_cache,fier,Fier Fine-Grained KV Cache Retrieval for Long-Context LLMs,2025,https://aclanthology.org/2025.findings-emnlp.515/,https://aclanthology.org/2025.findings-emnlp.515.pdf,fier_kv_retrieval_emnlp_2025.pdf,KV retrieval and cache budget reduction
serving,vllm_pagedattention,Efficient Memory Management for Large Language Model Serving with PagedAttention,2023,https://arxiv.org/abs/2309.06180,https://arxiv.org/pdf/2309.06180,vllm_pagedattention_2309.06180.pdf,Serving system memory management
attention,flashattention3,FlashAttention-3 Fast and Accurate Attention with Asynchrony and Low-precision,2024,https://arxiv.org/abs/2407.08608,https://arxiv.org/pdf/2407.08608,flashattention3_2407.08608.pdf,Attention IO and low precision
architecture,deepseek_v3,DeepSeek-V3 Technical Report,2024,https://arxiv.org/abs/2412.19437,https://arxiv.org/pdf/2412.19437,deepseek_v3_2412.19437.pdf,MLA MoE FP8 and training economics
architecture,transmla,TransMLA Multi-head Latent Attention Is All You Need,2025,https://arxiv.org/abs/2502.07864,https://arxiv.org/pdf/2502.07864,transmla_2502.07864.pdf,Transplanting MLA to existing attention models
architecture,kimi_linear,Kimi Linear An Expressive Efficient Attention Architecture,2025,https://arxiv.org/abs/2510.26692,https://arxiv.org/pdf/2510.26692,kimi_linear_2510.26692.pdf,Hybrid linear attention and KV cache reduction
architecture,minimax_01,MiniMax-01 Scaling Foundation Models with Lightning Attention,2025,https://arxiv.org/abs/2501.08313,https://arxiv.org/pdf/2501.08313,minimax_01_2501.08313.pdf,Million-token context and lightning attention
architecture,minimax_m1,MiniMax-M1 Scaling Test-Time Compute Efficiently with Lightning Attention,2025,https://arxiv.org/abs/2506.13585,https://arxiv.org/pdf/2506.13585,minimax_m1_2506.13585.pdf,Reasoning and long-context inference
architecture,mamba,Mamba Linear-Time Sequence Modeling with Selective State Spaces,2023,https://arxiv.org/abs/2312.00752,https://arxiv.org/pdf/2312.00752,mamba_2312.00752.pdf,SSM alternative to full attention
architecture,mamba2,Mamba-2 Transformers are SSMs,2024,https://arxiv.org/abs/2405.21060,https://arxiv.org/pdf/2405.21060,mamba2_2405.21060.pdf,SSM attention duality
architecture,gated_deltanet,Gated Delta Networks,2025,https://openreview.net/forum?id=r8H7xhYPwz,https://openreview.net/pdf?id=r8H7xhYPwz,gated_deltanet_openreview_2025.pdf,Linear attention with recurrent state
architecture,gated_deltanet2,Gated DeltaNet-2,2026,https://arxiv.org/abs/2605.22791,https://arxiv.org/pdf/2605.22791,gated_deltanet2_2605.22791.pdf,Constant-memory decoding direction
cxl,beluga,Beluga A CXL-Based Memory Architecture for Scalable and Efficient LLM KVCache Management,2025,https://arxiv.org/abs/2511.20172,https://arxiv.org/pdf/2511.20172,beluga_cxl_kvcache_2511.20172.pdf,CXL shared memory for KV cache
cxl,cxl_pnm,CXL-Enabled KV-Cache Management Beyond GPU Limits,2025,https://arxiv.org/abs/2511.00321,https://arxiv.org/pdf/2511.00321,cxl_enabled_kv_cache_management_2511.00321.pdf,CXL processing-near-memory for 1M-token inference
cxl,tract,TraCT Disaggregated LLM Serving with CXL Shared Memory KV Cache,2025,https://arxiv.org/abs/2512.18194,https://arxiv.org/pdf/2512.18194,tract_cxl_shared_memory_kv_cache_2512.18194.pdf,Rack-scale CXL KV transfer and cache
compute_in_memory,cim_transformers,An Overview of Compute-in-Memory Architectures for Accelerating Transformer-based Models,2024,https://arxiv.org/abs/2406.08413,https://arxiv.org/pdf/2406.08413,cim_transformer_survey_2406.08413.pdf,Compute-in-memory architectures for transformers
chiplet,mozart,Mozart A Chiplet Ecosystem-Accelerator Codesign Framework,2025,https://arxiv.org/abs/2510.08873,https://arxiv.org/pdf/2510.08873,mozart_chiplet_codesign_2510.08873.pdf,Chiplet accelerator codesign
interconnect,photonic_rails_opus,Photonic Rails in ML Datacenters with Opus,2026,https://arxiv.org/abs/2602.12521,https://arxiv.org/pdf/2602.12521,photonic_rails_opus_2602.12521.pdf,Photonic rail fabrics for ML datacenters
interconnect,infinite_hbd,InfiniteHBD Building Datacenter-Scale High-Bandwidth Domain,2025,https://arxiv.org/abs/2502.03885,https://arxiv.org/pdf/2502.03885,infinite_hbd_2502.03885.pdf,Silicon photonic high-bandwidth domain
interconnect,photonics_scale_ai_dc,Photonics to Scale AI Data Centers,2025,https://www.nature.com/articles/s44310-025-00105-1,,photonics_to_scale_ai_datacenters_npj_2025.pdf,Nature page only record source no direct download
hardware,rpu,RPU A Reasoning Processing Unit,2026,https://arxiv.org/abs/2602.18568,https://arxiv.org/pdf/2602.18568,rpu_reasoning_processing_unit_2602.18568.pdf,Reasoning-specific inference hardware
